,Unnamed: 0,Brand,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
4,4,Samsung,SAMSUNG Galaxy,Deep Ocean,128.0,6000.0,50,50,16.76,6.0,4.2,6001.0,16373.0
5,5,Samsung,SAMSUNG Galaxy,Lavender,128.0,4500.0,12,32,16.26,8.0,4.4,25114.0,54999.0
6,6,Samsung,SAMSUNG Galaxy,Mystique Green,128.0,6000.0,50,50,16.74,6.0,4.2,6001.0,16959.0
7,7,Samsung,SAMSUNG Galaxy,Nightsky Green,64.0,6000.0,50,8,16.76,4.0,4.4,91390.0,11999.0
8,8,Samsung,SAMSUNG Galaxy,Sunrise Copper,64.0,6000.0,50,8,16.76,4.0,4.4,91390.0,11999.0
9,9,Samsung,SAMSUNG Galaxy,Waterfall Blue,64.0,6000.0,50,8,16.76,4.0,4.4,91390.0,11999.0
10,10,Samsung,SAMSUNG Galaxy,Copper Blush,128.0,5000.0,50,8,16.76,6.0,4.3,120.0,18499.0
11,11,Samsung,SAMSUNG Galaxy,Forest Green,128.0,5000.0,50,8,16.76,6.0,4.3,120.0,18499.0
12,12,Samsung,SAMSUNG Galaxy,Aqua Blue,128.0,5000.0,50,8,16.76,6.0,4.3,120.0,18499.0
13,13,Samsung,SAMSUNG Galaxy,Denim Blue,128.0,6000.0,48,13,16.26,6.0,4.3,61765.0,13999.0
14,14,Samsung,SAMSUNG Galaxy,Denim Black,64.0,6000.0,48,13,16.26,4.0,4.3,97409.0,11999.0
15,15,Samsung,SAMSUNG Galaxy,Denim Black,128.0,6000.0,48,13,16.26,6.0,4.3,61765.0,13999.0
16,16,Samsung,SAMSUNG Galaxy,Blue,128.0,5000.0,50,8,16.76,8.0,4.3,367.0,20999.0
17,17,Samsung,SAMSUNG Galaxy,White,128.0,4500.0,12,32,16.26,8.0,4.4,25114.0,54999.0
18,18,Samsung,SAMSUNG Galaxy,Copper Blush,128.0,5000.0,50,8,16.76,4.0,4.2,29004.0,17499.0
19,19,Samsung,SAMSUNG Galaxy,Olive,128.0,4500.0,12,32,16.26,8.0,4.4,25114.0,54999.0
20,20,Samsung,SAMSUNG Galaxy,Mystique Green,128.0,6000.0,50,50,16.76,8.0,4.2,555.0,19449.0
21,21,Samsung,SAMSUNG GALAXY,Stardust Brown,64.0,6000.0,50,50,16.76,4.0,4.2,977.0,10790.0
22,22,Samsung,SAMSUNG Galaxy,Emarld Brown,128.0,6000.0,50,50,16.76,8.0,4.2,555.0,19980.0
23,23,Samsung,SAMSUNG Galaxy,Mystique Green,128.0,6000.0,50,50,16.76,6.0,4.2,6001.0,16585.0
24,24,Samsung,SAMSUNG Galaxy,Graphite,128.0,4500.0,12,32,16.26,8.0,4.4,25114.0,54999.0
25,25,Samsung,SAMSUNG Galaxy,Deep Ocean,128.0,6000.0,50,50,16.76,6.0,4.2,6001.0,16992.0
26,26,Samsung,SAMSUNG Galaxy,Emarld Brown,128.0,6000.0,50,50,16.76,6.0,4.2,6001.0,16649.0
27,27,Samsung,SAMSUNG Galaxy,Mystique Green,128.0,6000.0,50,50,16.74,6.0,4.2,6001.0,16959.0
28,28,Samsung,SAMSUNG Galaxy,Awesome Black,128.0,5000.0,64,20,16.26,8.0,4.1,249.0,18989.0
29,29,Samsung,SAMSUNG Galaxy,Forest Green,128.0,5000.0,50,8,16.76,4.0,4.2,29004.0,17499.0
30,30,Samsung,SAMSUNG GALAXY,Midnight Blue,64.0,6000.0,50,50,16.76,4.0,4.2,977.0,10480.0
31,31,Samsung,SAMSUNG Galaxy,Nightsky Green,128.0,6000.0,50,8,16.76,4.0,4.4,91390.0,12999.0
32,32,Samsung,SAMSUNG Galaxy,Sky Blue,128.0,5000.0,48,13,16.51,8.0,4.2,1266.0,22989.0
33,33,Samsung,SAMSUNG Galaxy,Blue,128.0,5000.0,48,8,16.51,6.0,4.1,1271.0,13700.0
34,34,Samsung,SAMSUNG Galaxy,Black,128.0,5000.0,50,8,16.76,8.0,4.3,367.0,20999.0
35,35,Samsung,SAMSUNG Galaxy,Awesome Blue,128.0,5000.0,64,32,16.51,8.0,4.1,1108.0,35999.0
36,36,Samsung,SAMSUNG Galaxy,Awesome Black,128.0,5000.0,48,13,16.26,6.0,4.1,1230.0,28499.0
37,37,Samsung,SAMSUNG Galaxy,Phantom White,128.0,4500.0,50,10,16.76,8.0,4.5,1584.0,84999.0
38,38,Samsung,SAMSUNG Galaxy,Black,128.0,5000.0,50,8,16.76,6.0,4.2,629.0,19499.0
39,39,Samsung,SAMSUNG M32,Slate Black,128.0,5000.0,48,13,16.51,6.0,4.1,3762.0,18989.0
40,40,Samsung,SAMSUNG Galaxy,White,32.0,5000.0,13,5,16.51,3.0,4.0,299.0,11499.0
41,41,Samsung,SAMSUNG Galaxy,Celestial Black,512.0,6000.0,48,8,16.55,4.0,4.3,295.0,11499.0
42,42,Samsung,SAMSUNG M53,Mystique Green,128.0,5000.0,108,108,17.02,6.0,4.2,230.0,25445.0
43,43,Samsung,SAMSUNG Galaxy,Black,64.0,5000.0,48,5,16.51,4.0,4.2,151.0,11499.0
44,44,Samsung,SAMSUNG Galaxy,Awesome Blue,128.0,5000.0,48,13,16.26,6.0,4.1,1230.0,28499.0
45,45,Samsung,SAMSUNG Galaxy,Sky Blue,512.0,6000.0,48,8,16.55,4.0,4.3,295.0,11499.0
46,46,Samsung,SAMSUNG GALAXY,Midnight Blue,128.0,6000.0,50,50,16.76,6.0,4.0,209.0,13490.0
